Participant,Widget,Location,TaskType,SelectionMethod,SRC,Trials,A,W,ID,Ae,We,IDe(bits),PT(ms),ST(ms),MT(ms),ER(%),TP(bps),TRE,TAC,MDC,ODC,MV,ME,MO
P9,Horizontal,Rear,1D,DT500,0,7,500,40,3.754887499779624,497.0,31.56425709437056,4.065715165943852,5665.142857142857,530.7142857142857,6196.571428571428,0.0,0.6561233438216285,0.0,0.0,0.0,0.0,3.6071750209729714e-14,4.999999999999992,4.999999999999992
P9,Horizontal,Rear,1D,DT500,0,7,100,40,1.8073549209101785,113.42857142857144,19.94260821323656,2.7415209330926325,2520.285714285714,508.1428571428572,3029.0,0.0,0.9050910970923184,0.0,0.0,0.0,0.1428571428571428,1.2304699487296356e-14,12.0,12.0
P9,Horizontal,Rear,1D,DT500,0,7,250,40,2.857980993313141,261.7142857142857,31.999293720938923,3.198297998321872,3024.285714285714,527.5714285714286,3552.5714285714284,0.0,0.9002769015704158,0.0,0.0,0.0,0.0,2.0190009208109943e-14,11.999999999999991,11.999999999999991
P9,Horizontal,Rear,1D,DT500,0,7,100,60,1.4150374983804868,103.85714285714286,25.66670016068725,2.335247962313453,2022.571428571429,519.7142857142857,2542.8571428571427,0.0,0.9183559402356276,0.0,0.0,0.0,0.0,8.92189693260279e-15,11.999999999999998,11.999999999999998
P9,Horizontal,Rear,1D,DT500,0,7,500,60,3.222392419290665,493.8571428571428,40.622678086645045,3.7177782194295785,5026.428571428572,523.0,5550.142857142857,0.0,0.6698527074208398,0.0,0.0,0.0,0.0,3.654277441509869e-14,11.99999999999999,11.99999999999999
P9,Horizontal,Rear,1D,DT500,0,7,250,60,2.3692338081615767,250.42857142857144,19.04561307589814,3.8226164337550577,3054.285714285714,515.5714285714286,3570.285714285714,0.0,1.0706752175210228,0.0,0.0,0.0,0.0,1.92520777655706e-14,11.999999999999996,11.999999999999996
P9,Horizontal,Front,1D,DT500,0,7,100,60,1.4150374983804868,101.0,45.79870507523688,1.6804605281575018,1613.142857142857,526.4285714285714,2140.285714285714,0.0,0.7851571016621621,0.0,0.0,0.0,0.0,8.295207751087602e-15,4.0,-4.0
P9,Horizontal,Front,1D,DT500,0,7,100,40,1.8073549209101785,122.28571428571428,18.171490213806653,2.950381982368452,2085.8571428571427,510.57142857142856,2596.8571428571427,0.0,1.136135651698711,0.1428571428571428,0.0,0.0,0.2857142857142857,1.0130073679564124e-14,2.999999999999997,2.999999999999997
P9,Horizontal,Front,1D,DT500,0,7,250,60,2.3692338081615767,242.7142857142857,35.77913952715942,2.960452669771487,2767.5714285714284,514.1428571428571,3282.0,0.0,0.9020270169931404,0.0,0.0,0.0,0.0,1.8392178432726185e-14,2.999999999999996,2.999999999999996
P9,Horizontal,Front,1D,DT500,0,7,250,40,2.857980993313141,262.2857142857143,22.814844587277605,3.6434261336144353,3167.285714285714,513.4285714285714,3681.0,0.0,0.9897924840028348,0.1428571428571428,0.0,0.0,0.1428571428571428,2.052267928349596e-14,2.9999999999999933,2.9999999999999933
P9,Horizontal,Front,1D,DT500,0,7,500,40,3.754887499779624,500.4285714285714,37.03022176106597,3.859379051035256,4905.571428571428,525.8571428571429,5431.857142857143,0.0,0.7105082018054018,0.0,0.0,0.0,0.0,3.641044187951564e-14,2.999999999999992,2.999999999999992
P9,Horizontal,Front,1D,DT500,0,7,500,60,3.222392419290665,493.1428571428572,24.56571903486292,4.397421842498178,4735.714285714285,523.7142857142857,5260.142857142857,0.0,0.835989052374657,0.0,0.0,0.0,0.0,3.594417158711315e-14,2.999999999999992,2.999999999999992
P9,Vertical,Left,1D,DT500,0,7,500,40,3.754887499779624,513.2857142857143,39.92597802773574,3.7924319927683,5522.571428571428,516.8571428571429,6039.571428571428,0.0,0.627930646672614,0.1428571428571428,0.0,0.0,0.2857142857142857,7.269893418093668e-14,25.0,25.0
P9,Vertical,Left,1D,DT500,0,7,250,40,2.857980993313141,258.1428571428572,37.49946091057252,2.9789110280298057,2897.428571428572,517.7142857142857,3415.8571428571427,0.0,0.8720830243908093,0.0,0.0,0.0,0.0,3.630216615434852e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,0,7,250,60,2.3692338081615767,240.0,41.24851973421833,2.7694312493089788,2788.5714285714284,518.0,3306.714285714286,0.0,0.837517550661548,0.0,0.0,0.0,0.0,3.452581613954312e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,0,7,500,60,3.222392419290665,493.57142857142856,43.41007584679996,3.6287705467304585,4914.0,518.8571428571429,5433.285714285715,0.0,0.6678777332083509,0.0,0.0,0.0,0.0,6.880355361810298e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,0,7,100,40,1.8073549209101785,112.42857142857144,34.72946580899988,2.083134212670337,1602.0,527.8571428571429,2130.428571428572,0.0,0.9778005423920312,0.0,0.0,0.0,0.0,1.4138844669166974e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,0,7,100,60,1.4150374983804868,95.42857142857144,52.02585025173992,1.5029685407993278,1644.7142857142858,531.4285714285714,2176.8571428571427,0.0,0.6904304886202451,0.0,0.0,0.0,0.1428571428571428,1.2929795469816128e-14,32.0,32.0
P9,Horizontal,Center,1D,DT500,0,7,250,60,2.3692338081615767,252.57142857142856,33.306938329131874,3.101506801461938,3022.5714285714284,521.2857142857143,3544.0,0.0,0.875143002669847,0.0,0.0,0.0,0.0,1.8974279171456863e-14,4.999999999999996,4.999999999999996
P9,Horizontal,Center,1D,DT500,0,7,500,60,3.222392419290665,504.8571428571428,35.69949116102108,3.920470358070998,5278.142857142857,524.5714285714286,5803.142857142857,0.0,0.6755770889295699,0.0,0.0,0.0,0.0,3.8101595486241575e-14,11.999999999999984,11.999999999999984
P9,Horizontal,Center,1D,DT500,0,7,250,40,2.857980993313141,254.57142857142856,48.00952959532121,2.655928492521656,3174.428571428572,519.2857142857143,3694.285714285714,0.0,0.7189288262819642,0.0,0.0,0.0,0.0,2.07384500750922e-14,12.000000000000002,12.000000000000002
P9,Horizontal,Center,1D,DT500,0,7,100,40,1.8073549209101785,112.71428571428572,29.97841495777365,2.250915524278752,2211.285714285714,519.1428571428571,2731.0,0.0,0.824209272895918,0.0,0.0,0.0,0.0,1.1101460453586441e-14,11.999999999999996,11.999999999999996
P9,Horizontal,Center,1D,DT500,0,7,100,60,1.4150374983804868,99.0,33.18462084534049,1.993967637754741,1801.7142857142856,522.5714285714286,2325.0,0.0,0.8576204893568778,0.0,0.0,0.0,0.0,8.862294520901341e-15,11.999999999999996,11.999999999999996
P9,Horizontal,Center,1D,DT500,0,7,500,40,3.754887499779624,498.0,30.78155039386405,4.102534034604588,5635.428571428572,516.2857142857143,6152.571428571428,0.0,0.666799903460391,0.0,0.0,0.0,0.0,3.652824346929692e-14,11.99999999999999,11.99999999999999
P9,Vertical,Center,1D,DT500,0,7,100,60,1.4150374983804868,106.28571428571428,27.6644690516631,2.275590414013041,1872.857142857143,536.4285714285714,2410.0,0.0,0.9442283875572784,0.0,0.0,0.0,0.1428571428571428,8.781071399677974e-15,1.0000000000000016,-1.0000000000000016
P9,Vertical,Center,1D,DT500,0,7,100,40,1.8073549209101785,112.14285714285714,53.48274778295781,1.630780229005624,1858.0,524.5714285714286,2382.8571428571427,0.0,0.6843801920287392,0.0,0.0,0.0,0.1428571428571428,9.561819218641895e-15,5.999999999999998,5.999999999999998
P9,Vertical,Center,1D,DT500,0,7,500,60,3.222392419290665,496.4285714285714,26.75277665252221,4.289550564825824,5128.857142857143,522.2857142857143,5651.857142857143,0.0,0.7589630198362299,0.0,0.0,0.0,0.2857142857142857,3.615158830798867e-14,5.999999999999991,5.999999999999991
P9,Vertical,Center,1D,DT500,0,7,500,40,3.754887499779624,510.0,29.596160879208995,4.188398129925657,5217.142857142857,512.4285714285714,5730.0,0.0,0.7309595340184393,0.0,0.0,0.0,0.1428571428571428,3.723312322517356e-14,5.999999999999994,5.999999999999994
P9,Vertical,Center,1D,DT500,0,7,250,60,2.3692338081615767,243.8571428571429,24.79638812399997,3.43754490160789,2849.428571428572,517.7142857142857,3367.8571428571427,0.0,1.0206920174445484,0.0,0.0,0.0,0.0,1.8287954482376932e-14,5.999999999999995,5.999999999999995
P9,Vertical,Center,1D,DT500,0,7,250,40,2.857980993313141,253.28571428571428,50.20399941808527,2.5957734140644497,2816.0,510.57142857142856,3327.285714285714,0.0,0.7801474345649027,0.0,0.0,0.0,0.0,1.960939218062072e-14,5.999999999999996,5.999999999999996
P9,Vertical,Right,1D,DT500,0,7,250,40,2.857980993313141,258.2857142857143,27.796449775121538,3.36345701718471,2907.5714285714284,523.5714285714286,3431.5714285714284,0.0,0.9801506648471324,0.0,0.0,0.0,0.0,1.928904622843136e-14,0.999999999999996,0.999999999999996
P9,Vertical,Right,1D,DT500,0,7,100,60,1.4150374983804868,103.71428571428572,37.11797122477193,1.9237880491997728,1613.428571428571,537.1428571428571,2151.0,0.0,0.8943691535098901,0.0,0.0,0.0,0.1428571428571428,9.196278869924036e-15,8.000000000000002,8.000000000000002
P9,Vertical,Right,1D,DT500,0,7,250,60,2.3692338081615767,234.28571428571428,43.269331687784906,2.6813571769098887,3042.1428571428573,521.8571428571429,3564.285714285714,0.0,0.7522845786921531,0.0,0.0,0.0,0.1428571428571428,1.895339480627145e-14,7.999999999999996,7.999999999999996
P9,Vertical,Right,1D,DT500,0,7,500,40,3.754887499779624,512.7142857142857,21.45535690628047,4.637888180208631,5414.285714285715,526.0,5940.857142857143,0.0,0.7806766041807438,0.0,0.0,0.0,0.0,3.956022082149015e-14,7.99999999999999,7.99999999999999
P9,Vertical,Right,1D,DT500,0,7,500,60,3.222392419290665,491.8571428571428,48.86586078360047,3.467990920801706,4740.571428571428,524.0,5265.285714285715,0.0,0.6586519913615307,0.0,0.0,0.0,0.0,3.7244003534420175e-14,7.999999999999991,7.999999999999991
P9,Vertical,Right,1D,DT500,0,7,100,40,1.8073549209101785,126.14285714285714,22.617929730832607,2.71745549511352,1955.0,516.5714285714286,2472.0,0.0,1.0992942941397734,0.1428571428571428,0.0,0.0,0.1428571428571428,1.0717556902262404e-14,8.000000000000002,8.000000000000002
P9,Joystick,Rear,2D,DT500,0,7,500,40,3.754887499779624,478.8148650831152,44.33357698097339,3.560748689652109,6382.428571428572,500.0,6883.285714285715,0.0,0.5173036304830493,0.1428571428571428,1.4285714285714286,2.571428571428572,0.5714285714285714,11.055914277209093,12.913678175480864,1.0148955828498427
P9,Joystick,Rear,2D,DT500,0,7,250,40,2.857980993313141,237.7918625695081,28.31200603906545,3.2325036025884217,5526.571428571428,501.2857142857143,6028.142857142857,0.0,0.5362354010502868,0.1428571428571428,1.5714285714285714,2.0,1.0,14.205850421366192,16.86470718858502,-8.695158545404114
P9,Joystick,Rear,2D,DT500,0,7,100,60,1.4150374983804868,95.48804637205548,34.83825817522561,1.9033839002142905,3326.285714285714,500.0,3826.857142857143,0.0,0.4973752165708539,0.1428571428571428,0.7142857142857143,1.4285714285714286,0.8571428571428571,11.69177509465156,18.18531328613219,-7.614614921410862
P9,Joystick,Rear,2D,DT500,0,7,100,40,1.8073549209101785,106.20828469652766,34.60682491775278,2.024673654407517,4509.0,500.57142857142856,5010.142857142857,0.0,0.4041149548302762,0.2857142857142857,1.1428571428571428,1.4285714285714286,0.7142857142857143,13.213862198411364,19.71663557231736,-7.709832031198291
P9,Joystick,Rear,2D,DT500,0,7,250,60,2.3692338081615767,237.4048982927293,33.81600161139234,3.0036903615768766,3396.1428571428573,500.0,3896.428571428572,0.0,0.7708829525586851,0.0,1.0,1.1428571428571428,0.0,8.250025265508585,12.78830032478275,2.018765555954032
P9,Joystick,Rear,2D,DT500,0,7,500,60,3.222392419290665,495.12305382553166,31.52314739479971,4.062350596582669,6205.428571428572,501.0,6707.0,0.0,0.6056881760224645,0.0,0.7142857142857143,1.8571428571428568,0.0,14.834224324271265,20.513680347989112,13.067761914076158
P9,Joystick,Center,2D,DT500,0,7,500,60,3.222392419290665,486.9479480621,60.95632668509047,3.168075985869039,5339.142857142857,500.0,5839.714285714285,0.0,0.542505306059085,0.0,1.4285714285714286,2.0,0.0,12.893445551392627,16.819050755189632,-5.540078194826505
P9,Joystick,Center,2D,DT500,0,7,250,40,2.857980993313141,244.17117304256607,20.253945859209985,3.706584323626305,3686.571428571429,500.0,4187.285714285715,0.0,0.8851997634125119,0.0,0.5714285714285714,1.2857142857142858,0.2857142857142857,10.565688833345044,12.53667449003628,-0.4993872761526547
P9,Joystick,Center,2D,DT500,0,7,100,60,1.4150374983804868,105.83353219589902,41.48239607932686,1.8283422928181967,3139.5714285714284,501.8571428571428,3642.142857142857,0.0,0.5019963149530251,0.0,0.8571428571428571,1.2857142857142858,0.5714285714285714,11.697205990378205,15.224516443977617,0.8047409303526597
P9,Joystick,Center,2D,DT500,0,7,250,60,2.3692338081615767,236.09596254217612,53.15877496422387,2.4439608234695327,3948.285714285714,500.1428571428572,4449.142857142857,0.0,0.5493104856244133,0.2857142857142857,1.0,1.5714285714285714,0.2857142857142857,11.963268202335913,16.004266399178235,-3.927715781964277
