Participant,Widget,Location,TaskType,SelectionMethod,Trial,A,W,Ae,dx,PT(ms),ST(ms),MT(ms),Errors,TRE,TAC,MDC,ODC,MV,ME,MO
P9,Vertical,Left,1D,DT500,0,500.0,40.0,491.0,-9.0,4976,539,5515,0,0,0,0,1,7.143622949867583e-14,25.0,25.0
P9,Vertical,Left,1D,DT500,1,500.0,40.0,513.0,13.0,5202,507,5709,0,0,0,0,0,7.111493986951611e-14,25.000000000000004,25.000000000000004
P9,Vertical,Left,1D,DT500,2,500.0,40.0,499.0,-1.000000000000029,4911,516,5427,0,0,0,0,0,7.076540474298336e-14,25.0,25.0
P9,Vertical,Left,1D,DT500,3,500.0,40.0,517.0,17.0,5257,506,5763,0,0,0,0,0,7.439521564610602e-14,25.0,25.0
P9,Vertical,Left,1D,DT500,4,500.0,40.0,507.0,7.0,4902,514,5416,0,0,0,0,0,7.21975241278865e-14,25.0,25.0
P9,Vertical,Left,1D,DT500,5,500.0,40.0,517.0,17.0,7785,508,8294,0,1,0,0,1,8.16646162444592e-14,25.0,25.0
P9,Vertical,Left,1D,DT500,6,500.0,40.0,505.0,5.0,5625,528,6153,0,0,0,0,0,6.731860913692977e-14,25.0,25.0
P9,Vertical,Left,1D,DT500,0,250.0,40.0,257.00000000000006,7.000000000000029,2603,502,3106,0,0,0,0,0,3.742454063654488e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,1,250.0,40.0,263.0,13.0,3097,536,3634,0,0,0,0,0,3.779927078048327e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,2,250.0,40.0,257.99999999999994,7.999999999999971,2888,515,3404,0,0,0,0,0,3.5998587590917743e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,3,250.0,40.0,257.00000000000006,7.000000000000029,2829,534,3363,0,0,0,0,0,3.6934891578301494e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,4,250.0,40.0,250.0,0.0,3021,513,3535,0,0,0,0,0,3.4224828996996074e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,5,250.0,40.0,251.00000000000003,1.0000000000000149,2749,506,3255,0,0,0,0,0,3.7124240056142925e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,6,250.0,40.0,235.0,-15.000000000000014,3095,518,3614,0,0,0,0,0,3.46088034410532e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,0,250.0,60.0,250.0,0.0,2452,520,2972,0,0,0,0,0,3.614050417806253e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,1,250.0,60.0,245.0,-5.0,2758,534,3292,0,0,0,0,0,3.510907658990637e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,2,250.0,60.0,248.00000000000003,-1.999999999999985,2620,521,3141,0,0,0,0,0,3.4822063249895494e-14,32.0,32.0
P9,Vertical,Left,1D,DT500,3,250.0,60.0,243.0,-7.0,3548,523,4071,0,0,0,0,0,3.5090229720512073e-14,32.0,32.0
