Participant,Widget,Location,Duration of Incorrect Selection (s)
P9,Horizontal,Center,0.0500310289999106
P9,Horizontal,Center,0.4884189790000164
P9,Horizontal,Center,0.283621753999796
P9,Horizontal,Center,0.0667692130000432
P9,Horizontal,Center,0.0333675800002311
P9,Horizontal,Center,0.083404402999804
P9,Horizontal,Center,0.0667511000001468
P9,Horizontal,Center,0.0166767720002098
P9,Horizontal,Center,0.0667069350001838
P9,Horizontal,Center,0.3710051699999894
P9,Horizontal,Center,0.4004837120000957
P9,Horizontal,Center,0.0500780080001277
P9,Horizontal,Center,0.2243140040000071
P9,Horizontal,Center,0.1009233410004526
P9,Horizontal,Center,0.0667240080001647
P9,Horizontal,Center,0.6528492869992988
P9,Horizontal,Center,0.1379995269999199
P9,Horizontal,Center,0.0166750099997443
P9,Vertical,Right,0.2225220680002166
P9,Vertical,Right,0.3007166019997385
P9,Vertical,Right,0.5566854700000476
P9,Vertical,Right,0.0685137979999126
P9,Vertical,Right,0.2059140929995919
P9,Joystick,Center,0.0500420389998907
P9,Joystick,Center,0.1335673360008513
P9,Joystick,Center,0.474625045000721
P9,Joystick,Center,0.0167022210007417
P9,Joystick,Center,0.0166703619997861
P9,Joystick,Center,0.033399272000679
P9,Joystick,Center,0.0678448799990292
P9,Joystick,Center,0.1354851989999588
P9,Joystick,Center,0.0166896949995134
P9,Vertical,Center,0.4036858870003925
P9,Vertical,Center,0.2353200610004933
P9,Vertical,Center,0.3174642000003587
P9,Vertical,Center,0.2192830829999366
P9,Vertical,Center,0.0242424920006669
P9,Vertical,Center,0.1669235090002985
P9,Vertical,Center,0.1181075480008075
P9,Joystick,Front,0.118406956000399
P9,Joystick,Front,0.2005749410000135
P9,Joystick,Front,0.9093133000005764
P9,Joystick,Front,0.6379336129994044
P9,Joystick,Front,0.1699858880001556
P9,Joystick,Rear,0.4509992699995564
P9,Joystick,Rear,0.1167837389984924
P9,Joystick,Rear,0.1025735670009453
P9,Joystick,Rear,0.2002332390002266
P9,Joystick,Rear,0.0333702850002737
P9,Joystick,Rear,0.1505686060008884
P9,Joystick,Rear,0.1021425559993076
P9,Joystick,Rear,0.29400228600025
P9,Joystick,Rear,0.4053575419984554
P9,Joystick,Rear,0.033380090000719
P9,Joystick,Rear,0.0500465980003355
P9,Joystick,Rear,0.0166908779992809
P9,Joystick,Rear,0.474376520000078
P9,Joystick,Rear,0.5249039770005766
P9,Joystick,Rear,0.0667279589997633
P9,Joystick,Rear,0.5068096779996267
P9,Joystick,Rear,0.1518210389986052
P9,Joystick,Rear,0.4573519149998901
P9,Joystick,Rear,0.1835618150016671
P9,Horizontal,Rear,0.1865261140001166
P9,Horizontal,Rear,0.2056234149995361
P9,Horizontal,Rear,0.7415103989997078
P9,Horizontal,Rear,0.0667327030005253
P9,Horizontal,Rear,0.3905613150000135
P9,Horizontal,Rear,0.0166697920003571
P9,Horizontal,Rear,0.0500339320005878
P9,Horizontal,Rear,0.133728938000786
P9,Horizontal,Rear,0.1501153780000095
P9,Horizontal,Rear,0.7880508099997314
P9,Horizontal,Rear,0.1334238909994383
P9,Horizontal,Rear,0.9363663539998016
P9,Horizontal,Rear,0.2174464299996543
P9,Horizontal,Rear,0.0667303569998694
P9,Horizontal,Rear,0.0670333500002016
P9,Horizontal,Rear,0.0509721890002765
P9,Horizontal,Rear,0.0704216970007109
P9,Horizontal,Rear,0.1582892709993757
P9,Horizontal,Rear,0.8347717609995016
P9,Horizontal,Rear,0.0353613580000455
P9,Horizontal,Rear,0.4843628329999774
P9,Horizontal,Rear,0.5051201669994043
P9,Horizontal,Rear,0.0500719430001481
P9,Horizontal,Rear,0.507110408000699
P9,Vertical,Left,0.0669279719995756
P9,Vertical,Left,0.0500577499997234
P9,Vertical,Left,0.2336174629999732
P9,Vertical,Left,0.5006804860004195
P9,Vertical,Left,0.2681660809994355
P9,Horizontal,Front,0.0166677020006318
P6,Joystick,Center,0.2807777250000072
P6,Joystick,Center,0.4961747249999462
P6,Joystick,Center,0.2319808579995879
P6,Joystick,Center,0.3457059929987736
P6,Joystick,Center,0.1192194319992268
P6,Joystick,Center,0.1049701329993695
P6,Vertical,Left,0.1183763360004377
P6,Vertical,Left,0.3545239949999086
P6,Vertical,Left,0.0667815320002773
P6,Vertical,Left,0.0936533800004326
P6,Vertical,Left,0.1168217579997872
P6,Vertical,Left,0.0166688959998282
P6,Vertical,Left,0.0450702660000388
P6,Vertical,Left,0.1826584369991906
P6,Vertical,Left,0.0500555899998289
P6,Joystick,Rear,0.403284216999964
P6,Joystick,Rear,0.1835246059999917
P6,Joystick,Rear,0.4589460960014548
P6,Joystick,Rear,0.0667671690007409
P6,Joystick,Rear,0.187743242999204
P6,Joystick,Rear,0.2366212580000137
P6,Joystick,Rear,0.5475001190006878
P6,Joystick,Rear,0.3569655749997764
P6,Joystick,Rear,0.0668023769994761
P6,Joystick,Rear,0.1072991929995623
P6,Joystick,Rear,0.1997733539992623
P6,Vertical,Right,0.052606420000302
P6,Vertical,Right,0.1398773099999744
P6,Vertical,Right,0.0765535020000243
P6,Vertical,Right,0.2862283360000219
P6,Vertical,Right,0.1957512550006868
P6,Vertical,Right,0.2468148910002128
P6,Vertical,Right,0.1015737070001705
P6,Vertical,Right,0.1102149309999731
P6,Vertical,Right,0.6937222440001278
P6,Vertical,Right,0.1620039190001989
P6,Joystick,Front,0.1116495050009689
P6,Joystick,Front,0.3416204479999578
P6,Joystick,Front,0.3976907840005879
P6,Joystick,Front,0.3096012919995701
P6,Joystick,Front,0.1290759450002951
P6,Joystick,Front,0.2250912580002477
P6,Joystick,Front,0.9092119139986607
P6,Horizontal,Front,0.1883131859995046
P6,Horizontal,Rear,0.2651785369998833
P6,Horizontal,Rear,0.1709786179999355
P6,Horizontal,Rear,0.7289488740007073
P6,Horizontal,Rear,0.2696501450000141
P6,Horizontal,Rear,0.2359482020001451
P6,Horizontal,Rear,0.0785609909999038
P6,Horizontal,Rear,0.3168268120007269
P6,Horizontal,Rear,0.08353622300001
P6,Horizontal,Rear,0.5558482090000325
P6,Horizontal,Rear,0.2050767390001056
P6,Horizontal,Rear,0.2590393219998077
P6,Vertical,Center,1.1425710410003376
P6,Vertical,Center,0.0506147349997263
P6,Vertical,Center,0.2498844890001237
P6,Vertical,Center,0.2723904100002983
P6,Vertical,Center,0.1665158050000172
P6,Vertical,Center,0.0667883129999609
P6,Vertical,Center,0.1532032390005042
P6,Vertical,Center,0.2527019729996027
P6,Vertical,Center,0.2920849049996832
P6,Vertical,Center,0.0847991169994202
P6,Vertical,Center,0.2324923309997757
P6,Vertical,Center,0.1673967819997415
P6,Vertical,Center,0.5327866569996331
P6,Vertical,Center,0.0166883070005496
P6,Vertical,Center,0.413370766999833
P6,Vertical,Center,0.669126003999736
P6,Vertical,Center,0.7145568040004946
P6,Vertical,Center,0.1001735609997922
P6,Vertical,Center,0.0500736570002118
P6,Vertical,Center,0.3413297509996482
P6,Horizontal,Center,0.2507043080004223
P6,Horizontal,Center,0.1122397880008065
P6,Horizontal,Center,0.8217576540000664
P6,Horizontal,Center,0.94195851799941
P6,Horizontal,Center,1.6301967420004075
P6,Horizontal,Center,1.2336575899998934
P6,Horizontal,Center,0.6168915850003032
P6,Horizontal,Center,0.4198891519999961
P6,Horizontal,Center,0.6169455439994636
P6,Horizontal,Center,0.1443010940001841
P6,Horizontal,Center,0.6382655999996132
P6,Horizontal,Center,0.095230573999288
P6,Horizontal,Center,0.6357268869996915
P6,Horizontal,Center,0.0667715919998954
P12,Joystick,Front,0.3023249800007761
P12,Joystick,Front,0.5370141429993964
P12,Joystick,Front,0.11688449400026
P12,Joystick,Front,0.7056888759998401
P12,Joystick,Front,0.1168208250001043
P12,Horizontal,Front,0.5087855649999256
P12,Horizontal,Front,0.2836783109996759
P12,Horizontal,Front,0.4183142900001257
P12,Horizontal,Rear,0.6352992020001693
P12,Horizontal,Rear,0.3567108090001056
P12,Horizontal,Rear,0.7040134540002327
P12,Horizontal,Rear,1.1228226709999944
P12,Horizontal,Rear,1.5593601070004297
P12,Horizontal,Rear,1.3021708940004828
P12,Horizontal,Rear,1.1380000780000046
P12,Horizontal,Rear,0.1500905809998585
P12,Horizontal,Rear,0.3671185019993572
P12,Horizontal,Rear,0.3027118950003569
P12,Horizontal,Rear,0.2669870789995912
P12,Horizontal,Rear,0.0504642940004487
P12,Horizontal,Rear,0.5021935499999017
P12,Horizontal,Rear,0.085652310000114
P12,Horizontal,Rear,0.0167091399998753
P12,Horizontal,Rear,0.0833856640001613
P12,Horizontal,Rear,0.3030289910002466
P12,Horizontal,Rear,0.3505219850003414
P12,Horizontal,Rear,0.3504461660004381
P12,Horizontal,Rear,1.4062144689996785
P12,Horizontal,Rear,0.5742568579998988
P12,Horizontal,Rear,0.2704321110004457
P12,Horizontal,Center,1.489512766000189
P12,Horizontal,Center,0.0833993979995284
P12,Horizontal,Center,0.2677514910001264
P12,Horizontal,Center,0.283638713000073
P12,Horizontal,Center,0.201312137000059
P12,Horizontal,Center,0.2843495519991847
P12,Horizontal,Center,0.4522700200004692
P12,Horizontal,Center,0.1334971209998912
P12,Horizontal,Center,0.9384581209997124
P12,Horizontal,Center,0.5353817519999211
P12,Horizontal,Center,0.6020205199993143
P12,Horizontal,Center,0.0333832889991754
P12,Horizontal,Center,0.2516617129995211
P12,Horizontal,Center,1.070129039999301
P12,Horizontal,Center,0.6759941740001523
P12,Joystick,Rear,0.6368323890001193
P12,Joystick,Rear,1.4864337779999914
P12,Joystick,Rear,0.2006121020003775
P12,Joystick,Rear,0.1668754759994044
P12,Joystick,Rear,0.3215912750001735
P12,Joystick,Rear,0.3840322550004202
P12,Joystick,Rear,1.1533874750002724
P12,Joystick,Rear,0.6195035529999586
P12,Joystick,Rear,0.083509629999753
P12,Joystick,Rear,0.3190618580010778
P12,Joystick,Rear,0.1340809670000453
P12,Joystick,Rear,0.3256323719997454
P12,Vertical,Right,0.2502546540004005
P12,Vertical,Right,0.0671931730003052
P12,Vertical,Right,0.1668127040002218
P12,Vertical,Right,0.3671399949998886
P12,Vertical,Center,0.083379376999801
P12,Vertical,Center,0.0333529700001236
P12,Vertical,Center,0.3335738739997396
P12,Vertical,Center,0.4336422229998788
P12,Vertical,Center,0.0333790509998834
P12,Vertical,Center,0.1170985310000105
P12,Joystick,Center,1.1549399769992306
P12,Joystick,Center,0.993013081000754
P12,Joystick,Center,0.2697521600002801
P12,Joystick,Center,0.3683701659992948
P12,Joystick,Center,0.2879608880011801
P12,Joystick,Center,0.5692932029996882
P12,Vertical,Left,3.9233224300000975
P12,Vertical,Left,0.3170825619999959
P12,Vertical,Left,0.4838475020001169
P12,Vertical,Left,0.1834627559996988
P12,Vertical,Left,0.0835718500002258
P12,Vertical,Left,0.1680885850000777
P12,Vertical,Left,0.0834586299997681
P2,Vertical,Center,0.033333878999656
P2,Vertical,Center,0.3000395220005885
P2,Vertical,Center,0.1000186370001756
P2,Vertical,Center,0.0166734819995326
P2,Vertical,Center,0.1000229849996685
P2,Vertical,Center,0.2500466769997729
P2,Vertical,Center,0.3333916319998025
P2,Vertical,Center,0.4167470359998333
P2,Vertical,Center,0.0166681880000396
P2,Horizontal,Rear,0.0500092090001089
P2,Horizontal,Rear,0.0500209290000839
P2,Horizontal,Rear,0.3167343529999016
P2,Horizontal,Rear,0.1166820440000719
P2,Horizontal,Rear,0.8835051580001618
P2,Horizontal,Rear,0.1666931800000384
P2,Horizontal,Rear,0.5336521670001275
P2,Horizontal,Rear,0.0500096000000667
P2,Horizontal,Rear,0.9168498060000728
P2,Joystick,Center,0.5502096240006722
P2,Joystick,Center,0.500099864000731
P2,Joystick,Center,0.0166696530004628
P2,Joystick,Center,0.0833541039992269
P2,Joystick,Center,0.5834281379993627
P2,Joystick,Center,0.1000193429999853
P2,Joystick,Center,0.1666887580004186
P2,Joystick,Center,0.1166843319997497
P2,Vertical,Right,0.0500068900000769
P2,Vertical,Right,0.0500098060001619
P2,Vertical,Right,0.0166685519998281
P2,Vertical,Right,0.1000164540000696
P2,Joystick,Rear,0.4333992239999134
P2,Joystick,Rear,0.2668810200002554
P2,Joystick,Rear,0.916827134000414
P2,Joystick,Rear,0.5167388939999
P2,Joystick,Rear,0.1333575279995784
